,country,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,non_covid_deaths
0,France,12/30/2019,1/5/2020,7,2020,1,67813000,12737,0,12737
1,France,1/6/2020,1/12/2020,7,2020,2,67813000,13200,0,13200
2,France,1/13/2020,1/19/2020,7,2020,3,67813000,12598,0,12598
3,France,1/20/2020,1/26/2020,7,2020,4,67813000,12331,0,12331
4,France,1/27/2020,2/2/2020,7,2020,5,67813000,12541,0,12541
5,France,2/3/2020,2/9/2020,7,2020,6,67813000,12407,0,12407
6,France,2/10/2020,2/16/2020,7,2020,7,67813000,12261,1,12260
7,France,2/17/2020,2/23/2020,7,2020,8,67813000,11835,0,11835
8,France,2/24/2020,3/1/2020,7,2020,9,67813000,12042,1,12041
9,France,3/2/2020,3/8/2020,7,2020,10,67813000,12139,17,12122
10,France,3/9/2020,3/15/2020,7,2020,11,67813000,12554,72,12482
11,France,3/16/2020,3/22/2020,7,2020,12,67813000,13939,585,13354
12,France,3/23/2020,3/29/2020,7,2020,13,67813000,16188,1932,14256
13,France,3/30/2020,4/5/2020,7,2020,14,67813000,18805,5473,13332
14,France,4/6/2020,4/12/2020,7,2020,15,67813000,17563,6315,11248
15,France,4/13/2020,4/19/2020,7,2020,16,67813000,15396,5298,10098
16,France,4/20/2020,4/26/2020,7,2020,17,67813000,12821,3136,9685
17,France,4/27/2020,5/3/2020,7,2020,18,67813000,11260,2068,9192
18,France,5/4/2020,5/10/2020,7,2020,19,67813000,11030,1485,9545
19,France,5/11/2020,5/17/2020,7,2020,20,67813000,10755,1730,9025
20,France,5/18/2020,5/24/2020,7,2020,21,67813000,11116,556,10560
21,France,5/25/2020,5/31/2020,7,2020,22,67813000,10434,433,10001
22,France,6/1/2020,6/7/2020,7,2020,23,67813000,10392,353,10039
23,France,6/8/2020,6/14/2020,7,2020,24,67813000,10360,253,10107
24,France,6/15/2020,6/21/2020,7,2020,25,67813000,10427,233,10194
25,France,6/22/2020,6/28/2020,7,2020,26,67813000,11111,137,10974
26,France,6/29/2020,7/5/2020,7,2020,27,67813000,10020,115,9905
27,France,7/6/2020,7/12/2020,7,2020,28,67813000,10316,117,10199
28,France,7/13/2020,7/19/2020,7,2020,29,67813000,10129,146,9983
29,France,7/20/2020,7/26/2020,7,2020,30,67813000,10542,51,10491
30,France,7/27/2020,8/2/2020,7,2020,31,67813000,10866,72,10794
31,France,8/3/2020,8/9/2020,7,2020,32,67813000,10748,61,10687
32,France,8/10/2020,8/16/2020,7,2020,33,67813000,11767,86,11681
33,France,8/17/2020,8/23/2020,7,2020,34,67813000,10490,103,10387
34,France,8/24/2020,8/30/2020,7,2020,35,67813000,10503,97,10406
35,France,8/31/2020,9/6/2020,7,2020,36,67813000,10623,117,10506
36,France,9/7/2020,9/13/2020,7,2020,37,67813000,11199,215,10984
37,France,9/14/2020,9/20/2020,7,2020,38,67813000,11781,369,11412
38,France,9/21/2020,9/27/2020,7,2020,39,67813000,10868,439,10429
39,France,9/28/2020,10/4/2020,7,2020,40,67813000,11856,485,11371
40,France,10/5/2020,10/11/2020,7,2020,41,67813000,11841,500,11341
41,France,10/12/2020,10/18/2020,7,2020,42,67813000,12167,749,11418
42,France,10/19/2020,10/25/2020,7,2020,43,67813000,13689,1181,12508
43,France,10/26/2020,11/1/2020,7,2020,44,67813000,14613,2400,12213
44,France,11/2/2020,11/8/2020,7,2020,45,67813000,15609,3457,12152
45,France,11/9/2020,11/15/2020,7,2020,46,67813000,15467,4109,11358
46,France,11/16/2020,11/22/2020,7,2020,47,67813000,14993,4182,10811
47,France,11/23/2020,11/29/2020,7,2020,48,67813000,14697,3595,11102
48,France,11/30/2020,12/6/2020,7,2020,49,67813000,14533,2830,11703
49,France,12/7/2020,12/13/2020,7,2020,50,67813000,14504,2756,11748
50,France,12/14/2020,12/20/2020,7,2020,51,67813000,14106,2638,11468
51,France,12/21/2020,12/27/2020,7,2020,52,67813000,13801,2197,11604
52,France,12/28/2020,1/3/2021,7,2020,53,67813000,14365,2291,12074
53,France,1/4/2021,1/10/2021,7,2021,1,67813000,14678,2713,11965
54,France,1/11/2021,1/17/2021,7,2021,2,67813000,14638,2533,12105
55,France,1/18/2021,1/24/2021,7,2021,3,67813000,15151,2766,12385
56,France,1/25/2021,1/31/2021,7,2021,4,67813000,14786,3008,11778
