Year,Month,Total_Deaths
2017,January,96033
2017,February,90649
2017,March,82934
2017,April,73204
2017,May,75683
2017,June,69644
2017,July,71411
2017,August,71488
2017,September,69391
2017,October,75229
2017,November,74987
2017,December,81610
2018,January,84973
2018,February,85799
2018,March,107104
2018,April,79539
2018,May,74648
2018,June,69328
2018,July,75605
2018,August,78370
2018,September,69708
2018,October,74039
2018,November,74762
2018,December,80999
2019,January,85105
2019,February,81009
2019,March,86739
2019,April,77410
2019,May,75669
2019,June,73483
2019,July,76926
2019,August,73444
2019,September,71022
2019,October,77006
2019,November,78378
2019,December,83329
2020,January,84980
2020,February,80030
2020,March,87396
2020,April,83830
2020,May,75835
2020,June,72159
2020,July,73795
2020,August,78742
2020,September,74243
2020,October,79781
2020,November,85989
2020,December,108792
2021,January,106803
2021,February,82191
2021,March,81901
2021,April,81877
2021,May,80876
2021,June,76836
2021,July,76704
2021,August,76402
2021,September,77931
2021,October,85080
2021,November,93915
2021,December,103171
2022,January,89655
2022,February,82781
2022,March,93872
2022,April,86234
2022,May,81889
2022,June,79599
2022,July,86081
2022,August,86658
2022,September,81043
2022,October,94444
2022,November,89028
2022,December,115057
2023,January,97288
2023,February,84180
2023,March,94509
2023,April,84861
2023,May,82717
2023,June,77471
2023,July,76014
2023,August,78215
2023,September,75800
2023,October,84633
