Date,Total
3/31/2017,82576903
6/30/2017,82665552
9/30/2017,82740888
12/31/2017,82792351
3/31/2018,82793751
6/30/2018,82886960
9/30/2018,82979092
12/31/2018,83019213
3/31/2019,83042235
6/30/2019,83073062
9/30/2019,83149277
12/31/2019,83166711
3/31/2020,83157201
6/30/2020,83122889
9/30/2020,83190556
12/31/2020,83155031
3/31/2021,83121363
6/30/2021,83129285
9/30/2021,83222442
12/31/2021,83237124
3/31/2022,83695430
6/30/2022,84079811
9/30/2022,84270625
12/31/2022,84358845
3/31/2023,84432670
6/30/2023,84482267
9/30/2023,84607016
