Year,Age,Total_Male,Total_Female,Total_Deaths,Population
2017,under 1 year,1418,1148,2566,"82,792,351"
2017,1 year,109,90,199,"82,792,351"
2017,2 years,58,41,99,"82,792,351"
2017,3 years,37,32,69,"82,792,351"
2017,4 years,31,41,72,"82,792,351"
2017,5 years,33,33,66,"82,792,351"
2017,6 years,28,32,60,"82,792,351"
2017,7 years,25,24,49,"82,792,351"
2017,8 years,28,21,49,"82,792,351"
2017,9 years,24,18,42,"82,792,351"
2017,10 years,23,18,41,"82,792,351"
2017,11 years,28,25,53,"82,792,351"
2017,12 years,22,30,52,"82,792,351"
2017,13 years,32,41,73,"82,792,351"
2017,14 years,53,30,83,"82,792,351"
2017,15 years,57,44,101,"82,792,351"
2017,16 years,92,61,153,"82,792,351"
2017,17 years,112,42,154,"82,792,351"
2017,18 years,154,78,232,"82,792,351"
2017,19 years,194,70,264,"82,792,351"
2017,20 years,205,92,297,"82,792,351"
2017,21 years,187,79,266,"82,792,351"
2017,22 years,190,70,260,"82,792,351"
2017,23 years,190,79,269,"82,792,351"
2017,24 years,235,90,325,"82,792,351"
2017,25 years,218,82,300,"82,792,351"
2017,26 years,245,97,342,"82,792,351"
2017,27 years,235,112,347,"82,792,351"
2017,28 years,279,120,399,"82,792,351"
2017,29 years,301,145,446,"82,792,351"
2017,30 years,322,167,489,"82,792,351"
2017,31 years,350,159,509,"82,792,351"
2017,32 years,340,155,495,"82,792,351"
2017,33 years,417,176,593,"82,792,351"
2017,34 years,402,225,627,"82,792,351"
2017,35 years,417,220,637,"82,792,351"
2017,36 years,476,213,689,"82,792,351"
2017,37 years,541,241,782,"82,792,351"
2017,38 years,535,284,819,"82,792,351"
2017,39 years,525,300,825,"82,792,351"
2017,40 years,566,324,890,"82,792,351"
2017,41 years,608,317,925,"82,792,351"
2017,42 years,643,350,993,"82,792,351"
2017,43 years,732,421,1153,"82,792,351"
2017,44 years,878,475,1353,"82,792,351"
2017,45 years,1071,626,1697,"82,792,351"
2017,46 years,1291,725,2016,"82,792,351"
2017,47 years,1438,790,2228,"82,792,351"
2017,48 years,1743,980,2723,"82,792,351"
2017,49 years,1932,1156,3088,"82,792,351"
2017,50 years,2252,1209,3461,"82,792,351"
2017,51 years,2580,1458,4038,"82,792,351"
2017,52 years,2905,1613,4518,"82,792,351"
2017,53 years,3296,1819,5115,"82,792,351"
2017,54 years,3715,2035,5750,"82,792,351"
2017,55 years,3927,2115,6042,"82,792,351"
2017,56 years,4329,2367,6696,"82,792,351"
2017,57 years,4534,2494,7028,"82,792,351"
2017,58 years,4886,2601,7487,"82,792,351"
2017,59 years,5126,2694,7820,"82,792,351"
2017,60 years,5396,2996,8392,"82,792,351"
2017,61 years,5924,3267,9191,"82,792,351"
2017,62 years,6160,3298,9458,"82,792,351"
2017,63 years,6425,3586,10011,"82,792,351"
2017,64 years,6839,3800,10639,"82,792,351"
2017,65 years,7373,4067,11440,"82,792,351"
2017,66 years,7698,4391,12089,"82,792,351"
2017,67 years,8197,4672,12869,"82,792,351"
2017,68 years,8441,4945,13386,"82,792,351"
2017,69 years,8126,4820,12946,"82,792,351"
2017,70 years,8199,5173,13372,"82,792,351"
2017,71 years,7016,4496,11512,"82,792,351"
2017,72 years,8695,5704,14399,"82,792,351"
2017,73 years,10888,7139,18027,"82,792,351"
2017,74 years,10950,7328,18278,"82,792,351"
2017,75 years,13217,8970,22187,"82,792,351"
2017,76 years,15350,10690,26040,"82,792,351"
2017,77 years,17171,12424,29595,"82,792,351"
2017,78 years,17280,13201,30481,"82,792,351"
2017,79 years,17078,13851,30929,"82,792,351"
2017,80 years,17450,15085,32535,"82,792,351"
2017,81 years,17771,16457,34228,"82,792,351"
2017,82 years,18153,17814,35967,"82,792,351"
2017,83 years,15683,16270,31953,"82,792,351"
2017,84 years,14564,16095,30659,"82,792,351"
2017,85 years,15114,18156,33270,"82,792,351"
2017,86 years,15311,19740,35051,"82,792,351"
2017,87 years,15056,20985,36041,"82,792,351"
2017,88 years,14426,21522,35948,"82,792,351"
2017,89 years,12767,20867,33634,"82,792,351"
2017,90 years,10886,20862,31748,"82,792,351"
2017,91 years,9008,20394,29402,"82,792,351"
2017,92 years,7460,18765,26225,"82,792,351"
2017,93 years,5442,16291,21733,"82,792,351"
2017,94 years,4488,14259,18747,"82,792,351"
2017,95 years,3564,12522,16086,"82,792,351"
2017,96 years,2721,10100,12821,"82,792,351"
2017,97 years,1855,7572,9427,"82,792,351"
2017,98 years,729,3214,3943,"82,792,351"
2017,99 years,419,1974,2393,"82,792,351"
2017,100 years and over,846,5151,5997,"82,792,351"
2018,under 1 year,1399,1106,2505,"83,019,213"
2018,1 year,107,108,215,"83,019,213"
2018,2 years,57,54,111,"83,019,213"
2018,3 years,51,39,90,"83,019,213"
2018,4 years,45,33,78,"83,019,213"
2018,5 years,33,25,58,"83,019,213"
2018,6 years,32,31,63,"83,019,213"
2018,7 years,38,13,51,"83,019,213"
2018,8 years,30,28,58,"83,019,213"
2018,9 years,38,22,60,"83,019,213"
2018,10 years,35,22,57,"83,019,213"
2018,11 years,27,30,57,"83,019,213"
2018,12 years,34,27,61,"83,019,213"
2018,13 years,36,26,62,"83,019,213"
2018,14 years,55,32,87,"83,019,213"
2018,15 years,75,45,120,"83,019,213"
2018,16 years,101,58,159,"83,019,213"
2018,17 years,111,57,168,"83,019,213"
2018,18 years,178,77,255,"83,019,213"
2018,19 years,174,67,241,"83,019,213"
2018,20 years,199,72,271,"83,019,213"
2018,21 years,210,72,282,"83,019,213"
2018,22 years,216,61,277,"83,019,213"
