,Date,Total Deaths,Total_Population,Death_Rate_per_1000
0,2018-1,4526,8811100,0.5136702568351283
1,2018-2,3929,8822700,0.4453285275482562
2,2018-3,4002,8835900,0.45292499915119
3,2018-4,3495,8849300,0.39494649294294465
4,2018-5,3608,8862500,0.40710860366713686
5,2018-6,3359,8875900,0.3784404961750358
6,2018-7,3519,8891400,0.39577569336662394
7,2018-8,3553,8908100,0.3988504843906108
8,2018-9,3426,8922000,0.38399462004034973
9,2018-10,3716,8938500,0.41572970856407676
10,2018-11,3715,8953000,0.4149447112699654
11,2018-12,4002,8967600,0.4462732503679914
12,2019-1,4846,8980800,0.5395955816853732
13,2019-2,4093,8992500,0.45515707534056155
14,2019-3,4340,9006000,0.4819009549189429
15,2019-4,3843,9019200,0.42609100585417775
16,2019-5,3810,9034100,0.421735424668755
17,2019-6,3364,9048000,0.3717948717948718
18,2019-7,3477,9063900,0.3836097044318671
19,2019-8,3526,9080200,0.38831743794189555
20,2019-9,3430,9096000,0.3770888302550572
21,2019-10,3636,9111400,0.3990605175933446
22,2019-11,3706,9126300,0.4060791339316043
23,2019-12,4257,9140500,0.46572944587276405
24,2020-1,4609,9153600,0.503517741653557
25,2020-2,3986,9165900,0.4348727348105478
26,2020-3,4209,9177800,0.45860663775632504
27,2020-4,3947,9188500,0.42955868748979703
28,2020-5,3896,9200100,0.42347365789502284
29,2020-6,3428,9212400,0.3721071599148973
30,2020-7,3711,9225400,0.4022589806404059
31,2020-8,4031,9239100,0.43629790780487276
32,2020-9,4174,9252100,0.45114082208363504
33,2020-10,4665,9264700,0.5035241292216693
34,2020-11,3846,9277500,0.4145513338722716
35,2020-12,4504,9289800,0.48483282740209693
36,2021-1,5503,9300100,0.591714067590671
37,2021-2,4545,9310300,0.48816901711008237
38,2021-3,4494,9323800,0.48199232072760034
39,2021-4,4021,9337600,0.43062457162440027
40,2021-5,3845,9350900,0.41119036670267034
41,2021-6,3527,9364700,0.3766271209969353
42,2021-7,3745,9379900,0.39925798782503014
43,2021-8,4517,9396000,0.48073648361004684
44,2021-9,4303,9409900,0.4572843494617371
45,2021-10,4182,9425100,0.4437088200655696
46,2021-11,3839,9438900,0.406721122164659
47,2021-12,4406,9453000,0.46609541944356286
48,2022-1,5719,9464800,0.6042388640013523
49,2022-2,5465,9474800,0.5767931776924051
50,2022-3,4644,9496400,0.48902742091740026
51,2022-4,4136,9514300,0.4347140619908979
52,2022-5,3923,9532600,0.4115351530537314
53,2022-6,3658,9550900,0.3830005549215257
54,2022-7,4205,9568400,0.43946741356966684
55,2022-8,3903,9587100,0.4071095534624652
