,Year,Quarter,Deaths,Average_Deaths_Per_Capita
0,2018 Q1,1,164238,2.4758128947646107
1,2018 Q2,2,128747,1.9379101691853813
2,2018 Q3,3,117705,1.7693082403872171
3,2018 Q4,4,129575,1.9451032784916538
4,2019 Q1,1,143286,2.1479904657682103
5,2019 Q2,2,126808,1.8984086111651721
6,2019 Q3,3,120828,1.8069629718250881
7,2019 Q4,4,138631,2.07100494480049
8,2020 Q1,1,149790,2.2353380092523505
9,2020 Q2,2,182916,2.7267929816192362
10,2020 Q3,3,120287,1.7935348233855697
11,2020 Q4,4,154106,2.2982372416261523
12,2021 Q1,1,180439,2.691512529832935
13,2021 Q2,2,120519,1.7980932772356997
14,2021 Q3,3,133822,1.990865541967925
15,2021 Q4,4,150704,2.235665860641754
16,2022 Q1,1,148290,2.193639053254438
17,2022 Q2,2,138541,2.0436488619433257
18,2022 Q3,3,137380,2.0240445531425877
19,2022 Q4,4,151816,2.234000912341628
20,2023 Q1,1,171072,2.5142857142857142
21,2023 Q2,2,138956,2.039810927453686
22,2023 Q3,3,128336,1.8817595307917887
23,2023 Q4,4,141709,
