Week ended,Under 1 year,1 to 14,15 to 44,45 to 64,65 to 74,75 to 84,85+
5-Jan-18,52,18,208,"1,290","1,976","3,612","5,565"
12-Jan-18,73,17,302,"1,561","2,321","4,155","6,621"
19-Jan-18,59,22,286,"1,507","2,191","3,866","6,325"
26-Jan-18,50,25,298,"1,459","2,157","3,824","6,122"
2-Feb-18,41,14,339,"1,404","1,988","3,661","5,838"
9-Feb-18,45,23,293,"1,347","2,032","3,376","5,374"
16-Feb-18,48,17,318,"1,377","1,953","3,492","5,041"
23-Feb-18,26,13,294,"1,378","1,896","3,398","5,137"
2-Mar-18,45,11,254,"1,229","1,728","3,028","4,559"
9-Mar-18,47,27,287,"1,362","2,019","3,691","5,564"
16-Mar-18,47,17,329,"1,316","1,989","3,594","5,496"
23-Mar-18,46,15,278,"1,349","1,917","3,342","4,966"
30-Mar-18,43,20,261,"1,065","1,586","2,884","4,082"
6-Apr-18,46,22,260,"1,229","1,764","3,013","4,460"
13-Apr-18,36,25,337,"1,382","2,053","3,442","5,026"
20-Apr-18,54,21,301,"1,386","1,880","3,109","4,472"
27-Apr-18,57,12,340,"1,213","1,707","2,906","4,071"
4-May-18,51,21,308,"1,363","1,725","2,907","3,778"
11-May-18,48,21,247,"1,115","1,437","2,384","3,372"
18-May-18,52,24,300,"1,330","1,760","2,791","3,884"
25-May-18,60,13,294,"1,258","1,659","2,687","3,665"
1-Jun-18,46,18,250,998,"1,431","2,330","3,074"
8-Jun-18,46,19,298,"1,195","1,700","2,881","3,811"
15-Jun-18,60,17,286,"1,199","1,607","2,670","3,504"
22-Jun-18,55,21,308,"1,161","1,613","2,550","3,548"
29-Jun-18,43,22,306,"1,184","1,652","2,508","3,497"
6-Jul-18,50,23,286,"1,150","1,548","2,611","3,590"
13-Jul-18,48,21,304,"1,140","1,600","2,633","3,547"
20-Jul-18,45,15,304,"1,166","1,577","2,484","3,536"
27-Jul-18,59,13,291,"1,193","1,566","2,628","3,391"
3-Aug-18,62,18,286,"1,155","1,536","2,620","3,484"
10-Aug-18,59,18,328,"1,175","1,608","2,563","3,568"
17-Aug-18,64,11,253,"1,130","1,558","2,489","3,325"
24-Aug-18,44,22,250,"1,083","1,601","2,560","3,418"
31-Aug-18,51,11,233,"1,017","1,442","2,150","2,961"
7-Sep-18,45,20,323,"1,196","1,621","2,638","3,602"
14-Sep-18,55,18,275,"1,180","1,600","2,576","3,487"
21-Sep-18,69,18,292,"1,171","1,623","2,601","3,531"
28-Sep-18,50,10,270,"1,083","1,607","2,629","3,501"
5-Oct-18,40,17,287,"1,200","1,627","2,696","3,636"
12-Oct-18,47,20,328,"1,212","1,607","2,741","3,694"
19-Oct-18,43,18,301,"1,209","1,654","2,769","3,870"
26-Oct-18,65,24,309,"1,200","1,657","2,642","3,706"
2-Nov-18,46,24,289,"1,151","1,569","2,700","3,750"
9-Nov-18,44,12,308,"1,157","1,666","2,949","4,015"
16-Nov-18,47,29,292,"1,238","1,716","2,819","4,052"
23-Nov-18,62,22,312,"1,223","1,700","2,766","3,872"
30-Nov-18,58,20,317,"1,246","1,658","2,829","3,905"
7-Dec-18,45,15,326,"1,218","1,696","2,965","4,022"
14-Dec-18,51,13,295,"1,265","1,814","2,962","4,150"
21-Dec-18,41,23,333,"1,306","1,867","3,136","4,410"
28-Dec-18,22,11,166,792,"1,205","2,013","2,922"
4-Jan-19,43,15,215,"1,199","1,766","3,078","4,639"
11-Jan-19,50,20,280,"1,419","2,179","3,590","5,071"
18-Jan-19,59,29,319,"1,373","2,004","3,414","4,662"
25-Jan-19,42,22,339,"1,438","1,936","3,266","4,697"
1-Feb-19,57,15,307,"1,367","1,852","3,126","4,573"
8-Feb-19,54,25,267,"1,387","1,955","3,251","4,721"
15-Feb-19,49,17,305,"1,372","1,911","3,392","4,778"
22-Feb-19,59,30,276,"1,395","1,824","3,169","4,542"
1-Mar-19,52,20,288,"1,264","1,826","3,117","4,477"
8-Mar-19,45,16,303,"1,342","1,857","3,042","4,293"
15-Mar-19,57,24,299,"1,311","1,718","2,933","4,225"
22-Mar-19,49,24,293,"1,249","1,713","2,948","4,126"
29-Mar-19,45,17,289,"1,222","1,643","2,794","3,857"
5-Apr-19,41,13,296,"1,232","1,614","2,937","3,993"
12-Apr-19,47,23,288,"1,265","1,712","2,907","4,049"
19-Apr-19,48,21,251,"1,100","1,446","2,547","3,612"
26-Apr-19,34,18,273,"1,207","1,730","2,811","3,986"
3-May-19,46,18,297,"1,334","1,869","3,207","4,436"
10-May-19,56,17,262,"1,094","1,513","2,579","3,534"
17-May-19,44,14,304,"1,274","1,650","2,864","4,122"
24-May-19,51,21,309,"1,262","1,765","2,946","3,930"
31-May-19,45,16,239,991,"1,382","2,403","3,184"
7-Jun-19,48,18,306,"1,223","1,741","2,846","3,958"
14-Jun-19,46,18,298,"1,149","1,658","2,672","3,604"
21-Jun-19,46,20,279,"1,150","1,625","2,711","3,627"
28-Jun-19,39,21,273,"1,214","1,605","2,692","3,667"
5-Jul-19,33,26,255,"1,112","1,561","2,650","3,425"
12-Jul-19,44,16,259,"1,140","1,564","2,616","3,540"
19-Jul-19,45,14,279,"1,136","1,500","2,610","3,496"
26-Jul-19,57,14,267,"1,117","1,598","2,580","3,479"
2-Aug-19,57,11,265,"1,123","1,597","2,664","3,554"
9-Aug-19,57,12,245,"1,095","1,578","2,575","3,560"
16-Aug-19,54,24,277,"1,244","1,573","2,530","3,391"
23-Aug-19,47,8,264,"1,127","1,582","2,479","3,487"
30-Aug-19,45,16,224,"1,026","1,419","2,319","3,193"
6-Sep-19,54,19,268,"1,199","1,643","2,775","3,737"
13-Sep-19,60,12,297,"1,169","1,617","2,654","3,704"
20-Sep-19,45,18,264,"1,174","1,592","2,695","3,652"
27-Sep-19,55,14,269,"1,197","1,547","2,760","3,675"
4-Oct-19,68,15,325,"1,189","1,665","2,780","3,757"
11-Oct-19,46,16,302,"1,137","1,595","2,869","4,008"
18-Oct-19,54,14,303,"1,154","1,628","2,920","4,083"
25-Oct-19,49,14,281,"1,198","1,663","2,799","4,017"
1-Nov-19,45,19,289,"1,196","1,663","2,938","4,014"
8-Nov-19,52,7,314,"1,236","1,676","2,998","4,414"
15-Nov-19,46,19,271,"1,254","1,673","3,070","4,317"
22-Nov-19,57,19,283,"1,225","1,743","3,163","4,392"
29-Nov-19,56,14,312,"1,237","1,751","3,142","4,446"
6-Dec-19,50,17,315,"1,275","1,689","3,078","4,392"
13-Dec-19,52,32,315,"1,313","1,793","3,215","4,468"
20-Dec-19,53,19,368,"1,316","1,903","3,299","4,968"
