,States,Agegrp,Year,Deaths
0,Alabama,1-4 years,2018,23
1,Alabama,1-4 years,2019,68
2,Alabama,1-4 years,2020,33
3,Alabama,1-4 years,2021,54
4,Alabama,15-24 years,2018,671
5,Alabama,15-24 years,2019,623
6,Alabama,15-24 years,2020,728
7,Alabama,15-24 years,2021,798
8,Alabama,25-34 years,2018,1148
9,Alabama,25-34 years,2019,1158
10,Alabama,25-34 years,2020,1371
11,Alabama,25-34 years,2021,1688
12,Alabama,35-44 years,2018,1820
13,Alabama,35-44 years,2019,1794
14,Alabama,35-44 years,2020,2226
15,Alabama,35-44 years,2021,2761
16,Alabama,45-54 years,2018,3596
17,Alabama,45-54 years,2019,3447
18,Alabama,45-54 years,2020,4173
19,Alabama,45-54 years,2021,4989
20,Alabama,5-14 years,2018,67
21,Alabama,5-14 years,2019,87
22,Alabama,5-14 years,2020,53
23,Alabama,5-14 years,2021,98
24,Alabama,55-64 years,2018,8096
25,Alabama,55-64 years,2019,7943
26,Alabama,55-64 years,2020,9585
27,Alabama,55-64 years,2021,10781
28,Alabama,65-74 years,2018,11581
29,Alabama,65-74 years,2019,11917
30,Alabama,65-74 years,2020,14323
31,Alabama,65-74 years,2021,15870
32,Alabama,75-84 years,2018,13569
33,Alabama,75-84 years,2019,13458
34,Alabama,75-84 years,2020,16328
35,Alabama,75-84 years,2021,16768
36,Alabama,85+ years,2018,13271
37,Alabama,85+ years,2019,13080
38,Alabama,85+ years,2020,15447
39,Alabama,85+ years,2021,14555
40,Alabama,< 1 year,2018,405
41,Alabama,< 1 year,2019,449
42,Alabama,< 1 year,2020,404
43,Alabama,< 1 year,2021,444
44,Alaska,15-24 years,2018,30
45,Alaska,15-24 years,2019,87
46,Alaska,15-24 years,2020,105
47,Alaska,15-24 years,2021,112
48,Alaska,25-34 years,2018,193
49,Alaska,25-34 years,2019,227
50,Alaska,25-34 years,2020,238
51,Alaska,25-34 years,2021,302
52,Alaska,35-44 years,2018,197
53,Alaska,35-44 years,2019,242
54,Alaska,35-44 years,2020,285
55,Alaska,35-44 years,2021,376
56,Alaska,45-54 years,2018,401
57,Alaska,45-54 years,2019,335
58,Alaska,45-54 years,2020,409
59,Alaska,45-54 years,2021,531
60,Alaska,55-64 years,2018,766
61,Alaska,55-64 years,2019,769
62,Alaska,55-64 years,2020,856
63,Alaska,55-64 years,2021,1002
64,Alaska,65-74 years,2018,949
65,Alaska,65-74 years,2019,1022
66,Alaska,65-74 years,2020,1134
67,Alaska,65-74 years,2021,1437
68,Alaska,75-84 years,2018,923
69,Alaska,75-84 years,2019,979
70,Alaska,75-84 years,2020,1094
71,Alaska,75-84 years,2021,1278
72,Alaska,85+ years,2018,821
73,Alaska,85+ years,2019,826
74,Alaska,85+ years,2020,930
75,Alaska,85+ years,2021,1046
76,Alaska,< 1 year,2021,10
77,Arizona,1-4 years,2018,67
78,Arizona,1-4 years,2019,20
79,Arizona,1-4 years,2020,49
80,Arizona,1-4 years,2021,45
81,Arizona,15-24 years,2018,859
82,Arizona,15-24 years,2019,845
83,Arizona,15-24 years,2020,1082
84,Arizona,15-24 years,2021,1137
85,Arizona,25-34 years,2018,1450
86,Arizona,25-34 years,2019,1510
87,Arizona,25-34 years,2020,2072
88,Arizona,25-34 years,2021,2333
89,Arizona,35-44 years,2018,1720
90,Arizona,35-44 years,2019,1929
91,Arizona,35-44 years,2020,2622
92,Arizona,35-44 years,2021,3230
93,Arizona,45-54 years,2018,3480
94,Arizona,45-54 years,2019,3389
95,Arizona,45-54 years,2020,4319
96,Arizona,45-54 years,2021,5285
97,Arizona,5-14 years,2018,90
98,Arizona,5-14 years,2019,121
99,Arizona,5-14 years,2020,123
100,Arizona,5-14 years,2021,122
101,Arizona,55-64 years,2018,7458
102,Arizona,55-64 years,2019,7462
103,Arizona,55-64 years,2020,9695
104,Arizona,55-64 years,2021,10763
105,Arizona,65-74 years,2018,11537
106,Arizona,65-74 years,2019,11959
107,Arizona,65-74 years,2020,15436
108,Arizona,65-74 years,2021,17381
109,Arizona,75-84 years,2018,14893
110,Arizona,75-84 years,2019,15418
111,Arizona,75-84 years,2020,19322
112,Arizona,75-84 years,2021,20705
113,Arizona,85+ years,2018,17188
114,Arizona,85+ years,2019,17069
115,Arizona,85+ years,2020,20546
116,Arizona,85+ years,2021,19927
117,Arizona,< 1 year,2018,451
118,Arizona,< 1 year,2019,429
119,Arizona,< 1 year,2020,405
120,Arizona,< 1 year,2021,429
121,Arkansas,1-4 years,2018,20
122,Arkansas,15-24 years,2018,365
123,Arkansas,15-24 years,2019,389
124,Arkansas,15-24 years,2020,430
125,Arkansas,15-24 years,2021,438
126,Arkansas,25-34 years,2018,620
127,Arkansas,25-34 years,2019,571
128,Arkansas,25-34 years,2020,781
129,Arkansas,25-34 years,2021,929
130,Arkansas,35-44 years,2018,983
131,Arkansas,35-44 years,2019,999
132,Arkansas,35-44 years,2020,1283
133,Arkansas,35-44 years,2021,1586
134,Arkansas,45-54 years,2018,2059
135,Arkansas,45-54 years,2019,1952
136,Arkansas,45-54 years,2020,2269
137,Arkansas,45-54 years,2021,2734
138,Arkansas,5-14 years,2018,21
139,Arkansas,5-14 years,2020,10
140,Arkansas,5-14 years,2021,23
141,Arkansas,55-64 years,2018,4655
142,Arkansas,55-64 years,2019,4781
143,Arkansas,55-64 years,2020,5496
144,Arkansas,55-64 years,2021,6073
145,Arkansas,65-74 years,2018,6766
146,Arkansas,65-74 years,2019,7053
147,Arkansas,65-74 years,2020,8270
148,Arkansas,65-74 years,2021,9068
149,Arkansas,75-84 years,2018,8262
150,Arkansas,75-84 years,2019,8445
151,Arkansas,75-84 years,2020,9587
152,Arkansas,75-84 years,2021,9828
153,Arkansas,85+ years,2018,8207
154,Arkansas,85+ years,2019,8322
155,Arkansas,85+ years,2020,9600
156,Arkansas,85+ years,2021,8970
157,Arkansas,< 1 year,2018,279
158,Arkansas,< 1 year,2019,251
159,Arkansas,< 1 year,2020,264
160,Arkansas,< 1 year,2021,313
161,California,1-4 years,2018,342
162,California,1-4 years,2019,314
163,California,1-4 years,2020,317
164,California,1-4 years,2021,306
165,California,15-24 years,2018,2915
166,California,15-24 years,2019,2904
167,California,15-24 years,2020,3800
168,California,15-24 years,2021,3849
169,California,25-34 years,2018,5359
170,California,25-34 years,2019,5724
171,California,25-34 years,2020,7454
172,California,25-34 years,2021,8595
173,California,35-44 years,2018,7413
174,California,35-44 years,2019,7750
175,California,35-44 years,2020,10251
176,California,35-44 years,2021,12463
177,California,45-54 years,2018,15465
178,California,45-54 years,2019,15143
179,California,45-54 years,2020,18831
180,California,45-54 years,2021,21368
181,California,5-14 years,2018,478
182,California,5-14 years,2019,490
183,California,5-14 years,2020,541
184,California,5-14 years,2021,534
185,California,55-64 years,2018,34198
186,California,55-64 years,2019,34093
187,California,55-64 years,2020,41234
188,California,55-64 years,2021,45027
189,California,65-74 years,2018,48803
190,California,65-74 years,2019,49162
191,California,65-74 years,2020,60463
192,California,65-74 years,2021,64875
193,California,75-84 years,2018,61739
194,California,75-84 years,2019,62369
195,California,75-84 years,2020,73450
196,California,75-84 years,2021,75686
197,California,85+ years,2018,90173
198,California,85+ years,2019,89969
199,California,85+ years,2020,101789
200,California,85+ years,2021,98821
201,California,< 1 year,2018,1909
202,California,< 1 year,2019,1879
203,California,< 1 year,2020,1651
204,California,< 1 year,2021,1704
205,Colorado,1-4 years,2018,10
206,Colorado,15-24 years,2018,544
207,Colorado,15-24 years,2019,584
208,Colorado,15-24 years,2020,724
209,Colorado,15-24 years,2021,743
210,Colorado,25-34 years,2018,1041
211,Colorado,25-34 years,2019,1097
212,Colorado,25-34 years,2020,1368
213,Colorado,25-34 years,2021,1570
214,Colorado,35-44 years,2018,1330
215,Colorado,35-44 years,2019,1381
216,Colorado,35-44 years,2020,1733
217,Colorado,35-44 years,2021,2162
218,Colorado,45-54 years,2018,2309
219,Colorado,45-54 years,2019,2283
220,Colorado,45-54 years,2020,2788
221,Colorado,45-54 years,2021,3135
222,Colorado,5-14 years,2018,33
223,Colorado,5-14 years,2019,44
224,Colorado,5-14 years,2020,12
225,Colorado,5-14 years,2021,81
226,Colorado,55-64 years,2018,5024
227,Colorado,55-64 years,2019,5180
228,Colorado,55-64 years,2020,5810
229,Colorado,55-64 years,2021,6335
230,Colorado,65-74 years,2018,7107
231,Colorado,65-74 years,2019,7426
232,Colorado,65-74 years,2020,9023
233,Colorado,65-74 years,2021,9750
234,Colorado,75-84 years,2018,8708
235,Colorado,75-84 years,2019,9058
236,Colorado,75-84 years,2020,10903
237,Colorado,75-84 years,2021,11183
238,Colorado,85+ years,2018,11989
239,Colorado,85+ years,2019,11937
240,Colorado,85+ years,2020,14146
241,Colorado,85+ years,2021,12928
242,Colorado,< 1 year,2018,298
243,Colorado,< 1 year,2019,306
244,Colorado,< 1 year,2020,294
245,Colorado,< 1 year,2021,315
246,Connecticut,15-24 years,2018,251
247,Connecticut,15-24 years,2019,239
248,Connecticut,15-24 years,2020,278
249,Connecticut,15-24 years,2021,291
250,Connecticut,25-34 years,2018,555
251,Connecticut,25-34 years,2019,601
252,Connecticut,25-34 years,2020,694
253,Connecticut,25-34 years,2021,676
254,Connecticut,35-44 years,2018,757
255,Connecticut,35-44 years,2019,787
256,Connecticut,35-44 years,2020,968
257,Connecticut,35-44 years,2021,1069
258,Connecticut,45-54 years,2018,1624
259,Connecticut,45-54 years,2019,1535
260,Connecticut,45-54 years,2020,1870
261,Connecticut,45-54 years,2021,1749
262,Connecticut,5-14 years,2018,10
263,Connecticut,55-64 years,2018,3465
264,Connecticut,55-64 years,2019,3570
265,Connecticut,55-64 years,2020,4245
266,Connecticut,55-64 years,2021,4302
267,Connecticut,65-74 years,2018,4912
268,Connecticut,65-74 years,2019,5182
269,Connecticut,65-74 years,2020,6336
270,Connecticut,65-74 years,2021,5941
271,Connecticut,75-84 years,2018,7029
272,Connecticut,75-84 years,2019,7209
273,Connecticut,75-84 years,2020,8838
274,Connecticut,75-84 years,2021,8091
275,Connecticut,85+ years,2018,12421
276,Connecticut,85+ years,2019,12415
277,Connecticut,85+ years,2020,14422
278,Connecticut,85+ years,2021,11980
279,Connecticut,< 1 year,2018,125
280,Connecticut,< 1 year,2019,127
281,Connecticut,< 1 year,2020,127
282,Connecticut,< 1 year,2021,167
283,Delaware,15-24 years,2018,44
284,Delaware,15-24 years,2019,26
285,Delaware,15-24 years,2020,84
286,Delaware,15-24 years,2021,92
287,Delaware,25-34 years,2018,235
288,Delaware,25-34 years,2019,254
289,Delaware,25-34 years,2020,243
290,Delaware,25-34 years,2021,260
291,Delaware,35-44 years,2018,291
292,Delaware,35-44 years,2019,315
293,Delaware,35-44 years,2020,317
294,Delaware,35-44 years,2021,395
295,Delaware,45-54 years,2018,555
296,Delaware,45-54 years,2019,516
297,Delaware,45-54 years,2020,585
298,Delaware,45-54 years,2021,636
299,Delaware,55-64 years,2018,1163
300,Delaware,55-64 years,2019,1200
301,Delaware,55-64 years,2020,1355
302,Delaware,55-64 years,2021,1538
303,Delaware,65-74 years,2018,1808
304,Delaware,65-74 years,2019,1796
305,Delaware,65-74 years,2020,2268
306,Delaware,65-74 years,2021,2437
307,Delaware,75-84 years,2018,2307
308,Delaware,75-84 years,2019,2283
309,Delaware,75-84 years,2020,2816
310,Delaware,75-84 years,2021,2850
311,Delaware,85+ years,2018,2879
312,Delaware,85+ years,2019,2752
313,Delaware,85+ years,2020,3296
314,Delaware,85+ years,2021,2978
315,Delaware,< 1 year,2019,12
316,District of Columbia,15-24 years,2018,21
317,District of Columbia,15-24 years,2019,46
318,District of Columbia,15-24 years,2020,51
319,District of Columbia,15-24 years,2021,21
