States,Agegrp,Month,Deaths
Alabama,< 1 year,1/1/2018,40
Alabama,< 1 year,2/1/2018,41
Alabama,< 1 year,3/1/2018,31
Alabama,< 1 year,4/1/2018,32
Alabama,< 1 year,5/1/2018,32
Alabama,< 1 year,6/1/2018,23
Alabama,< 1 year,7/1/2018,38
Alabama,< 1 year,8/1/2018,30
Alabama,< 1 year,9/1/2018,39
Alabama,< 1 year,10/1/2018,38
Alabama,< 1 year,11/1/2018,21
Alabama,< 1 year,12/1/2018,40
Alabama,< 1 year,1/1/2019,43
Alabama,< 1 year,2/1/2019,27
Alabama,< 1 year,3/1/2019,35
Alabama,< 1 year,4/1/2019,37
Alabama,< 1 year,5/1/2019,30
Alabama,< 1 year,6/1/2019,42
Alabama,< 1 year,7/1/2019,42
Alabama,< 1 year,8/1/2019,41
Alabama,< 1 year,9/1/2019,36
Alabama,< 1 year,10/1/2019,36
Alabama,< 1 year,11/1/2019,45
Alabama,< 1 year,12/1/2019,35
Alabama,< 1 year,1/1/2020,31
Alabama,< 1 year,2/1/2020,39
Alabama,< 1 year,3/1/2020,24
Alabama,< 1 year,4/1/2020,31
Alabama,< 1 year,5/1/2020,40
Alabama,< 1 year,6/1/2020,36
Alabama,< 1 year,7/1/2020,31
Alabama,< 1 year,8/1/2020,38
Alabama,< 1 year,9/1/2020,34
Alabama,< 1 year,10/1/2020,39
Alabama,< 1 year,11/1/2020,32
Alabama,< 1 year,12/1/2020,29
Alabama,< 1 year,1/1/2021,46
Alabama,< 1 year,2/1/2021,22
Alabama,< 1 year,3/1/2021,35
Alabama,< 1 year,4/1/2021,36
Alabama,< 1 year,5/1/2021,39
Alabama,< 1 year,6/1/2021,35
Alabama,< 1 year,7/1/2021,44
Alabama,< 1 year,8/1/2021,28
Alabama,< 1 year,9/1/2021,42
Alabama,< 1 year,10/1/2021,42
Alabama,< 1 year,11/1/2021,41
Alabama,< 1 year,12/1/2021,34
Alabama,1-4 years,5/1/2018,12
Alabama,1-4 years,8/1/2018,11
Alabama,1-4 years,4/1/2019,15
Alabama,1-4 years,6/1/2019,17
Alabama,1-4 years,7/1/2019,12
Alabama,1-4 years,9/1/2019,10
Alabama,1-4 years,10/1/2019,14
Alabama,1-4 years,1/1/2020,11
Alabama,1-4 years,5/1/2020,11
Alabama,1-4 years,10/1/2020,11
Alabama,1-4 years,2/1/2021,11
Alabama,1-4 years,3/1/2021,10
Alabama,1-4 years,6/1/2021,11
