Age,2020,2021,2022
All ages,"325,268","326,195","328,722"
   .Under 5 years,"19,426","19,093","18,539"
   .5 to 9 years,"20,235","20,194","20,228"
   .10 to 14 years,"20,737","20,651","21,231"
   .15 to 19 years,"20,754","20,655","21,414"
   .20 to 24 years,"21,059","21,022","21,035"
   .25 to 29 years,"23,027","22,592","21,747"
   .30 to 34 years,"22,233","22,691","22,836"
   .35 to 39 years,"21,560","21,607","21,992"
   .40 to 44 years,"19,852","20,397","21,198"
   .45 to 49 years,"19,621","19,406","19,430"
   .50 to 54 years,"19,967","20,273","20,700"
   .55 to 59 years,"21,142","20,682","21,004"
   .60 to 64 years,"21,015","21,094","21,174"
   .65 to 69 years,"17,700","18,162","18,533"
   .70 to 74 years,"14,569","14,878","15,171"
   .75 to 79 years,"9,987","10,172","10,304"
   .80 to 84 years,"6,530","6,632","6,389"
85+ years,"5,856","5,992","5,796"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
