label,dose1,dose2,Precaution Dose,total
16 Jan-22 Jan,1243013,0,0,1243013
23 Jan-29 Jan,2053181,0,0,2053181
30 Jan-05 Feb,1959386,0,0,1959386
06 Feb-12 Feb,2656057,0,0,2656057
13 Feb-19 Feb,1635606,718186,0,2353792
20 Feb-26 Feb,1612831,1701102,0,3313933
27 Feb-05 Mar,3102888,1038758,0,4141646
06 Mar-12 Mar,6939297,1704080,0,8643377
13 Mar-19 Mar,11499687,1944114,0,13443801
20 Mar-26 Mar,14065700,1169412,0,15235112
27 Mar-02 Apr,12686954,925007,0,13611961
03 Apr-09 Apr,22610262,2136613,0,24746875
10 Apr-16 Apr,17718027,3075336,0,20793363
17 Apr-23 Apr,11217226,5818200,0,17035426
24 Apr-30 Apr,9026096,6455419,0,15481515
01 May-07 May,5878417,6284103,0,12162520
08 May-14 May,6145801,6686790,0,12832591
15 May-21 May,7596547,1614260,0,9210807
22 May-28 May,13505852,1175374,0,14681226
29 May-04 Jun,16217166,1749880,0,17967046
05 Jun-11 Jun,19177847,2000327,0,21178174
12 Jun-18 Jun,19489495,2562678,0,22052173
19 Jun-25 Jun,36441378,4761596,0,41202974
26 Jun-02 Jul,22983015,6648873,0,29631888
03 Jul-09 Jul,17664968,9481889,0,27146857
10 Jul-16 Jul,15585059,9567785,0,25152844
17 Jul-23 Jul,18196275,10025852,0,28222127
24 Jul-30 Jul,23120012,10655439,0,33775451
31 Jul-06 Aug,25670685,8345995,0,34016680
07 Aug-13 Aug,26486041,8384033,0,34870074
14 Aug-20 Aug,30319817,9491343,0,39811160
21 Aug-27 Aug,33895533,13308475,0,47204008
28 Aug-03 Sep,38717599,15161373,0,53878972
04 Sep-10 Sep,36690599,16707014,0,53397613
11 Sep-17 Sep,40851318,26040013,0,66891331
18 Sep-24 Sep,30899960,22411879,0,53311839
25 Sep-01 Oct,27105994,21362311,0,48468305
02 Oct-08 Oct,22402353,19848370,0,42250723
09 Oct-15 Oct,15870336,16023137,0,31893473
16 Oct-22 Oct,15912892,21249120,0,37162012
23 Oct-29 Oct,16381904,24562573,0,40944477
30 Oct-05 Nov,9445131,14891215,0,24336346
06 Nov-12 Nov,9989236,24954752,0,34943988
13 Nov-19 Nov,13460683,30037467,0,43498150
20 Nov-26 Nov,16807984,35716210,0,52524194
27 Nov-03 Dec,16647224,37316152,0,53963376
04 Dec-10 Dec,15810652,38197128,0,54007780
11 Dec-17 Dec,12100760,33802535,0,45903295
18 Dec-24 Dec,9955025,32945904,0,42900929
25 Dec-31 Dec,10124728,30780439,0,40905167
01 Jan-07 Jan,33862327,20898909,0,54761236
08 Jan-14 Jan,25085774,24167103,3704876,52957753
15 Jan-21 Jan,19615016,26379215,3414562,49408793
22 Jan-28 Jan,11824575,22377487,3364434,37566496
29 Jan-04 Feb,10593308,24766540,3165112,38524960
05 Feb-11 Feb,7290255,22828668,2337186,32456109
12 Feb-18 Feb,4991646,20184773,1616089,26792508
